ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,VizSide
42276,Kelvin John Graham,M,24,179,84,Australia,AUS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",NA,Gender
42276,Kelvin John Graham,M,24,179,84,Australia,AUS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,Gender
42276,Kelvin John Graham,M,28,179,84,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,Gender
42284,Matt Graham,M,19,171,71,Australia,AUS,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Moguls,NA,Gender
42314,"Catherine Anne ""Cathy"" Grainger-Brain",F,24,170,53,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Half-Lightweight,NA,Gender
42314,"Catherine Anne ""Cathy"" Grainger-Brain",F,28,170,53,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Half-Lightweight,NA,Gender
42415,Andrew Grant,M,27,206,93,Australia,AUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,NA,Gender
42432,Peter Treacy Grant,M,22,180,70,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,NA,Gender
42432,Peter Treacy Grant,M,22,180,70,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres Hurdles,NA,Gender
42432,Peter Treacy Grant,M,22,180,70,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,NA,Gender
42433,Rhys Grant,M,29,188,88,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,NA,Gender
42434,Stephanie Grant,F,21,173,78,Australia,AUS,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Heavyweight,NA,Gender
42505,Jared Graves,M,25,177,82,Australia,AUS,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's BMX,NA,Gender
42536,Mark Gray,M,26,178,72,Australia,AUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,NA,Gender
42536,Mark Gray,M,26,178,72,Australia,AUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,NA,Gender
42536,Mark Gray,M,26,178,72,Australia,AUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA,Gender
42536,Mark Gray,M,26,178,72,Australia,AUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,NA,Gender
42537,Matthew Scott Gray,M,23,189,86,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA,Gender
42537,Matthew Scott Gray,M,23,189,86,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Team,NA,Gender
42537,Matthew Scott Gray,M,27,189,86,Australia,AUS,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA,Gender
42537,Matthew Scott Gray,M,27,189,86,Australia,AUS,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Team,NA,Gender
42537,Matthew Scott Gray,M,35,189,86,Australia,AUS,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA,Gender
42537,Matthew Scott Gray,M,35,189,86,Australia,AUS,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Team,NA,Gender
42539,Paul Gray,M,22,182,72,Australia,AUS,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,NA,Gender
42539,Paul Gray,M,22,182,72,Australia,AUS,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA,Gender
42539,Paul Gray,M,22,182,72,Australia,AUS,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,NA,Gender
42539,Paul Gray,M,28,182,72,Australia,AUS,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,NA,Gender
42539,Paul Gray,M,28,182,72,Australia,AUS,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA,Gender
42539,Paul Gray,M,28,182,72,Australia,AUS,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,NA,Gender
42540,Pauline Elizabeth Gray (-Christison),F,17,160,54,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Butterfly,NA,Gender
42540,Pauline Elizabeth Gray (-Christison),F,17,160,54,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Butterfly,NA,Gender
42541,"Penelope ""Penny"" Gray (-Dunbabin)",F,25,175,67,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,NA,Gender
42548,Sonya Gray (-Seville),F,16,168,61,Australia,AUS,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Freestyle,NA,Gender
42616,Craig Andrew Green,M,20,180,74,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Welterweight, Freestyle",NA,Gender
42618,"Daniel Thomas ""Danny"" Green",M,27,183,81,Australia,AUS,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Heavyweight,NA,Gender
42619,David Michael Green,M,28,183,70,Australia,AUS,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",NA,Gender
42619,David Michael Green,M,28,183,70,Australia,AUS,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",NA,Gender
42619,David Michael Green,M,32,183,70,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",NA,Gender
42619,David Michael Green,M,32,183,70,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,Gender
42619,David Michael Green,M,36,183,70,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",NA,Gender
42621,Dennis Allan Green,M,25,178,79,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",NA,Gender
42621,Dennis Allan Green,M,25,178,79,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze,Gender
42621,Dennis Allan Green,M,29,178,79,Australia,AUS,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",NA,Gender
