ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
34372,Jackson Campbell Fear,M,18,178,125,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Team,NA
34374,Clair-Louise Fearnley,F,25,161,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",NA
34377,Alison Feast (-Hittmann),F,22,165,53,Australia,AUS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
34377,Alison Feast (-Hittmann),F,22,165,53,Australia,AUS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
34378,Bruce Featherston,M,20,182,76,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NA
34378,Bruce Featherston,M,20,182,76,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
34378,Bruce Featherston,M,20,182,76,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Backstroke,NA
34378,Bruce Featherston,M,20,182,76,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Individual Medley,NA
34378,Bruce Featherston,M,20,182,76,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Individual Medley,NA
34397,Adam Jay Federici,M,23,188,90,Australia,AUS,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,NA
34437,"Alexandra Jane ""Lexie"" Feeney",F,19,160,56,Australia,AUS,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Individual,NA
34514,Juanita Ruth Feldhahn,F,27,174,57,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Women's Road Race, Individual",NA
34591,John Felton,M,35,177,71,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",NA
